publishedAt,title,sentiment,confidence,url
2025-06-11T19:51:26Z,Beat Tariff Price Hikes With Woot's Amazon Device Deals From as Little as $12,negative,0.9999875,https://www.cnet.com/deals/beat-tariffs-woot-amazon-devices-from-as-little-as-12/
2025-06-11T19:49:30Z,U.S. Evacuating Staff from Iraq; Voluntary Departure of Staff Families Across Mideast,positive,0.9917522,https://www.breitbart.com/national-security/2025/06/11/u-s-evacuating-staff-from-iraq-voluntary-departure-of-staff-families-across-mideast/
2025-06-11T19:46:55Z,Public sector AI demands more than technology: theCUBE’s in-depth analysis,positive,0.697585,https://siliconangle.com/2025/06/11/public-sector-ai-demands-transformation-technology-awssummit/
2025-06-11T19:46:24Z,"This Duracell rechargeable bundle with 6 AA, 2 AAA, and charger plunges to $13 (61% off)",positive,0.98597276,http://9to5toys.com/2025/06/11/duracell-rechargeable-bundle-13/
2025-06-11T19:44:43Z,NEWS: The Beach Boys’ Brian Wilson Has Passed Away,positive,0.99826235,https://allears.net/2025/06/11/the-beach-boys-brian-wilson-has-passed-away/
2025-06-11T19:44:42Z,Best Portable Monitors To Take Your PS5 Games on the Road,positive,0.9996915,https://www.playstationlifestyle.net/2025/06/11/best-portable-monitors/
2025-06-11T19:44:33Z,This All-in-One Kitchen Appliance Can Do Just About Everything. And It's 17% Off Right Now,positive,0.97186136,https://www.cnet.com/deals/this-all-in-one-kitchen-appliance-can-do-just-about-everything-and-its-17-off-right-now/
2025-06-11T19:44:05Z,"Amazon - Native Pet Probiotic for Dogs, 60 Scoops $15.74",positive,0.9999943,https://www.dealcatcher.com/deals/household/pets/native-pet-probiotic-for-scoops-16101
2025-06-11T19:43:32Z,Apple leads megacap losses,neutral,0.99740833,https://macdailynews.com/2025/06/11/apple-leads-megacap-losses/
2025-06-11T19:43:00Z,Transformers Fans Can Grab A Great Deal On Lego's Optimus Prime 2-In-1 Set,positive,0.99611807,https://www.gamespot.com/articles/transformers-fans-can-grab-a-great-deal-on-legos-optimus-prime-2-in-1-set/1100-6509331/
2025-06-11T19:42:25Z,Amazon Business enters Australia’s $50 billion B2B ecommerce market,positive,0.85354084,https://www.digitalcommerce360.com/2025/06/11/amazon-business-enters-australia-b2b-ecommerce-market/
2025-06-11T19:42:20Z,"Amazon - JoyJolt 3-Compartment Meal Prep Containers, Set of 5 $31.46",positive,0.99999917,https://www.dealcatcher.com/deals/household/kitchen-appliances/joyjolt-meal-prep-containers-16114
2025-06-11T19:41:00Z,"Save Up to to $1,000 on Our Favorite Pool Cleaners Thanks to Aiper Day Deals",negative,0.9889591,https://www.cnet.com/deals/save-up-to-to-1000-on-our-favorite-pool-cleaners-thanks-to-aiper-day-deals/
2025-06-11T19:40:20Z,"G.I. Joe Classified Series Adds Sgt. Slaughter 2-Pack, Retros, and More",positive,0.99826556,http://comicbook.com/gear/news/g-i-joe-classified-series-adds-sgt-slaughter-2-pack-retros-and-more/
2025-06-11T19:40:00Z,Amazon Q Developer introduces Pro Tier upgrades for Builder IDs,positive,0.9710359,https://aws.amazon.com/about-aws/whats-new/2025/06/amazon-q-developer-pro-tier-upgrades-builder-ids
2025-06-11T19:38:04Z,Amazon - American Soft Linen 6 Piece Towel Set $29.99,positive,0.99999905,https://www.dealcatcher.com/deals/household/bed-bath/american-soft-linen-piece-towel-set-16105
2025-06-11T19:38:04Z,Amazon - BARK SPARK Advanced Calming Chews for Dogs $19.99,positive,0.9999907,https://www.dealcatcher.com/deals/household/pets/bark-spark-advanced-calming-chews-for-dogs-16106
2025-06-11T19:38:04Z,Amazon - Dog Bed for Crates $17.99,positive,0.9999956,https://www.dealcatcher.com/deals/household/pets/dog-bed-for-dogs-16110
2025-06-11T19:38:04Z,Amazon - Self-Seal Envelopes with Stickers,positive,0.9999958,https://www.dealcatcher.com/deals/computers-office/printers-ink/self-seal-envelopes-with-stickers-16108
2025-06-11T19:38:04Z,Amazon - MKP Women's Backpack Purse $23.99,positive,0.99999774,https://www.dealcatcher.com/deals/clothing-accessories/bags-luggage/mkp-backpack-purse-set-16107
2025-06-11T19:38:04Z,Amazon - Earth Rated Dog Poop Bags $8.39,positive,0.9999846,https://www.dealcatcher.com/deals/household/pets/earth-rated-dog-poop-bags-16111
2025-06-11T19:34:40Z,Larsa Pippen details ‘draining’ Marcus Jordan relationship: ‘Thank God made it out’,positive,0.9999975,https://nypost.com/2025/06/11/entertainment/larsa-pippen-details-draining-marcus-jordan-relationship-thank-god-made-it-out/
2025-06-11T19:32:57Z,Milei: Argentina Moving Israel Embassy to Jerusalem in 2026,positive,0.9998148,https://www.breitbart.com/middle-east/2025/06/11/milei-argentina-moving-israel-embassy-to-jerusalem-in-2026/
2025-06-11T19:32:14Z,Lenovo ThinkStation P3 Tiny Gen 2 is a mini PC with up to Core Ultra 9 285 and NVIDIA RTX A1000,positive,0.99999666,https://liliputing.com/lenovo-thinkstation-p3-tiny-gen-2-is-a-mini-pc-with-up-to-core-ultra-9-285-and-nvidia-rtx-a1000/
2025-06-11T19:29:59Z,Whole Foods tells customers of ‘temporary supply challenges’ after cyberattack leaves shelves bare,positive,0.7843147,https://nypost.com/2025/06/11/business/whole-foods-tells-customers-of-temporary-supply-challenges/
2025-06-11T19:27:31Z,Google adds Chief AI Architect to accelerate development of AI products,positive,0.9982141,https://www.cnbc.com/2025/06/11/google-kavukcuoglu-chief-ai-architect.html
2025-06-11T19:24:42Z,"Amazon is selling an 'amazing' $160 magnetic portable charger for only $27, and shoppers say it's 'perfect for on the go'",positive,0.99606764,https://biztoc.com/x/43b51fc51cc734f4
2025-06-11T19:24:04Z,Amazon - GemsChest Sterling Silver Cubic Zirconia Slippers Necklace,positive,0.999997,https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/gemschest-sterling-silver-cubic-zirconia-slippers-necklace-16094
2025-06-11T19:24:04Z,Amazon - Food Storage Containers $19.99,positive,0.99998415,https://www.dealcatcher.com/deals/household/kitchen-appliances/food-storage-containers-16096
2025-06-11T19:22:04Z,Amazon - Rosemary Shampoo and Conditioner Set $19.99,positive,0.9999981,https://www.dealcatcher.com/deals/health-beauty/personal-care/rosemary-shampoo-and-conditioner-set-16086
2025-06-11T19:22:04Z,Amazon - Homeries Multi-Purpose Cake Stand with Dome,positive,0.9999995,https://www.dealcatcher.com/deals/household/kitchen-appliances/homeries-multi-purpose-cake-stand-with-dome-16085
2025-06-11T19:22:04Z,Amazon - Pair of Thieves Tapered Lounge Pants $24.49,positive,0.99999905,https://www.dealcatcher.com/deals/clothing-accessories/mens/pair-of-thieves-tapered-lounge-pants-16093
